Pk,Tm,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,WAS,John Wall,University of Kentucky,184,6594,3113,813,1477,0.423,0.243,0.785,35.8,16.9,4.4,8,10.2,0.074
2,PHI,Evan Turner,Ohio State University,225,6402,2269,1199,693,0.428,0.329,0.744,28.5,10.1,5.3,3.1,6.8,0.051
3,NJN,Derrick Favors,Georgia Institute of Technology,220,4698,1830,1383,157,0.498,0,0.651,21.4,8.3,6.3,0.7,10.3,0.105
4,MIN,Wesley Johnson,Syracuse University,194,4491,1501,540,241,0.4,0.336,0.714,23.1,7.7,2.8,1.2,1.9,0.021
5,SAC,DeMarcus Cousins,University of Kentucky,220,6548,3583,2148,505,0.448,0.167,0.71,29.8,16.3,9.8,2.3,9.6,0.071
6,GSW,Ekpe Udoh,Baylor University,195,3632,899,686,140,0.434,0,0.731,18.6,4.6,3.5,0.7,5.4,0.072
7,DET,Greg Monroe,Georgetown University,227,6991,3064,2015,538,0.512,0,0.687,30.8,13.5,8.9,2.4,19.5,0.134
8,LAC,Al-Farouq Aminu,Wake Forest University,223,4995,1411,1160,229,0.43,0.297,0.754,22.4,6.3,5.2,1,5.2,0.05
9,UTA,Gordon Hayward,Butler University,210,5337,2187,594,501,0.451,0.401,0.811,25.4,10.4,2.8,2.4,11.5,0.103
10,IND,Paul George,California State University Fresno,206,6195,2651,1197,550,0.431,0.358,0.797,30.1,12.9,5.8,2.7,17.4,0.135
11,NOH,Cole Aldrich,University of Kansas,89,703,175,203,16,0.54,0,0.711,7.9,2,2.3,0.2,1.4,0.095
12,MEM,Xavier Henry,University of Kansas,133,1911,598,233,66,0.403,0.289,0.624,14.4,4.5,1.8,0.5,0.5,0.012
13,TOR,Ed Davis,University of North Carolina,212,4767,1539,1360,163,0.544,0,0.611,22.5,7.3,6.4,0.8,13.2,0.133
14,HOU,Patrick Patterson,University of Kentucky,187,4126,1555,823,175,0.495,0.372,0.728,22.1,8.3,4.4,0.9,8.1,0.094
15,MIL,Larry Sanders,Virginia Commonwealth University,183,3452,1142,1010,132,0.479,0,0.58,18.9,6.2,5.5,0.7,8,0.112
16,MIN,Luke Babbitt,University of Nevada Reno,126,1404,482,262,51,0.372,0.367,0.714,11.1,3.8,2.1,0.4,1,0.035
17,CHI,Kevin Seraphin,,194,3532,1328,778,100,0.481,0,0.688,18.2,6.8,4,0.5,2.7,0.036
18,OKC,Eric Bledsoe,University of Kentucky,197,3858,1318,513,588,0.431,0.308,0.749,19.6,6.7,2.6,3,4.2,0.053
19,BOS,Avery Bradley,University of Texas at Austin,145,2965,997,243,203,0.438,0.335,0.755,20.4,6.9,1.7,1.4,2.3,0.037
20,SAS,James Anderson,Oklahoma State University,116,1290,433,174,101,0.391,0.333,0.786,11.1,3.7,1.5,0.9,1.7,0.063
21,OKC,Craig Brackins,Iowa State University,17,121,30,19,9,0.265,0.214,0.5,7.1,1.8,1.1,0.5,-0.2,-0.089
22,POR,Elliot Williams,University of Memphis,24,149,88,19,6,0.5,0.296,0.333,6.2,3.7,0.8,0.3,0.3,0.105
23,MIN,Trevor Booker,Clemson University,163,3211,1021,815,115,0.526,0.125,0.617,19.7,6.3,5,0.7,7.9,0.118
24,ATL,Damion James,University of Texas at Austin,34,573,144,119,23,0.428,0,0.65,16.9,4.2,3.5,0.7,0,-0.002
25,MEM,Dominique Jones,University of South Florida,80,741,246,114,144,0.366,0.095,0.729,9.3,3.1,1.4,1.8,0.3,0.017
26,OKC,Quincy Pondexter,University of Washington,189,2979,834,346,116,0.43,0.364,0.716,15.8,4.4,1.8,0.6,5.9,0.094
27,NJN,Jordan Crawford,Xavier University,176,4489,2242,482,532,0.402,0.301,0.814,25.5,12.7,2.7,3,2.4,0.025
28,MEM,Greivis Vasquez,University of Maryland,214,5251,1921,583,1214,0.429,0.325,0.806,24.5,9,2.7,5.7,6.6,0.06
29,ORL,Daniel Orton,University of Kentucky,29,291,78,65,9,0.518,0,0.476,10,2.7,2.2,0.3,0.8,0.131
30,WAS,Lazar Hayward,Marquette University,72,591,207,90,35,0.347,0.269,0.767,8.2,2.9,1.3,0.5,0.2,0.02
